frameragment	tail	Carbon	Order
0	0	1	C2	-0.4447139892218043
0	0	1	C3	0.24931639087224633
0	0	1	C4	-0.4998175889992673
0	0	1	C5	0.3903426563979153
0	0	1	C6	-0.4639442085776569
0	0	1	C7	-0.08698149330077692
0	0	1	C8	0.8659336558890869
0	0	1	C9	-0.20668211735413083
0	0	1	C10	0.9721253444817601
0	0	1	C11	-0.23822448179059696
0	0	1	C12	-0.49024040689712933
0	0	1	C13	0.0295485252527935
0	0	1	C14	-0.49999932325257146
0	0	3	C2	-0.487123606769542
0	0	3	C3	-0.3167093016067254
0	0	3	C4	0.9689891466545888
0	0	3	C5	-0.10610554173366238
0	0	3	C6	0.9922345301261466
0	0	3	C7	-0.2884651873572511
0	0	3	C8	0.99150864840633
0	0	3	C9	-0.09441717381282305
0	0	3	C10	-0.4999062120004335
0	0	3	C11	0.2386114166999298
0	0	3	C12	-0.3878443089208308
0	0	3	C13	-0.23231399430653515
0	0	3	C14	-0.4895173231388482
0	0	5	C2	0.10945977232655668
0	0	5	C3	0.24359423989289009
0	0	5	C4	-0.26747019783836506
0	0	5	C5	0.25636068711458737
0	0	5	C6	-0.2730376378140609
0	0	5	C7	0.16792760848685762
0	0	5	C8	0.11117067412205095
0	0	5	C9	-0.2950455961278507
0	0	5	C10	0.14937226493075895
0	0	5	C11	-0.307875759679724
0	0	5	C12	0.06946966820351141
0	0	5	C13	0.385391677327823
0	0	5	C14	-0.42375157912913525
0	0	6	C2	-0.3792728774913511
0	0	6	C3	0.08151668003617529
0	0	6	C4	0.6452355685688407
0	0	6	C5	0.14867418138300237
0	0	6	C6	-0.3847558830732818
0	0	6	C7	-0.008770597886919418
0	0	6	C8	-0.430527708984325
0	0	6	C9	-0.3192385863246492
0	0	6	C10	-0.4577183113215958
0	0	6	C11	-0.06572172614332711
0	0	6	C12	-0.49822601919060766
0	0	7	C2	0.43750485686118834
0	0	7	C3	0.6782626458120906
0	0	7	C4	-0.47579576173082555
0	0	7	C5	0.4219531995483383
0	0	7	C6	-0.4441040818830018
0	0	7	C7	0.34896379282844925
0	0	7	C8	-0.490930385244067
0	0	7	C9	-0.150371021924382
0	0	7	C10	-0.4997129563756224
0	0	7	C11	-0.22722751068599062
0	0	7	C12	-0.46098036945362425
0	0	7	C13	-0.07981665622417544
0	0	7	C14	0.9807661476084395
0	0	8	C2	0.5640102632870763
0	0	8	C3	0.5384631308556802
0	0	8	C4	0.6439421370062672
0	0	8	C5	0.09728298708879779
0	0	8	C6	-0.49933074305348774
0	0	8	C7	0.48818362129574666
0	0	8	C8	-0.4982002344911117
